"Trust in government"
"% of population aged 15+, 2013"
"Category","Percentage of population aged 15 years or over"
"Luxembourg",79.4831026677291
"Sweden",64.629476852971
"New Zealand",62.2435093010057
"Netherlands",60.8913082119468
"Türkiye",59.4133276705395
"Finland",54.7931899087056
"Canada",53.9747733719317
"Germany",51.8657347807302
"Belgium",48.8325406041272
"Denmark",48.4108126221607
"Australia",48.2791311221782
"United Kingdom",43.3799528576166
"France",43.3025350622664
"Austria",42.7717979193583
"Mexico",41.4281972819669
"Iceland",40.7663634889166
"Ireland",40.6039518772089
"Colombia",37.9042907577682
"Israel",37.3928978240029
"Slovak Rep.",35.0700883829296
"Estonia",34.9272318565101
"United States",34.4019785000547
"Chile",33.8874052926436
"Hungary",32.592706899501
"Korea",30.8116988275236
"Costa Rica",30.4052916380624
"Spain",28.9876900832315
"Japan",28.1143653687364
"Poland",26.8765938932031
"Lithuania",25.4061865207512
"Italy",24.2748835792976
"Portugal",23.0857081899017
"Czechia",22.1216493084763
"Slovenia",20.0835887608505
"Latvia",19.3797984897124
"Greece",15.7135246040228
